43.507 0 38.8307065963881 "LDA" 1 2 3 1.5
45.371 0 40.2854847219104 "LDA" 1 2 3 1.53535353535354
47.696 0 42.0319672424486 "LDA" 1 2 3 1.57070707070707
49.36 0 42.7544423696806 "LDA" 1 2 3 1.60606060606061
51.285 0 44.2310316311881 "LDA" 1 2 3 1.64141414141414
53.596 0 46.8778873278257 "LDA" 1 2 3 1.67676767676768
56.58 0 49.8034334356777 "LDA" 1 2 3 1.71212121212121
59.24 0 51.9760127934599 "LDA" 1 2 3 1.74747474747475
61.144 0 53.5691788337372 "LDA" 1 2 3 1.78282828282828
63.67 0 55.9171514638204 "LDA" 1 2 3 1.81818181818182
66.828 0 57.8913968550581 "LDA" 1 2 3 1.85353535353535
69.429 0 60.3069472522601 "LDA" 1 2 3 1.88888888888889
72.681 0 62.9883224714531 "LDA" 1 2 3 1.92424242424242
74.846 0 63.5674216961889 "LDA" 1 2 3 1.95959595959596
79.346 0 67.7829094005768 "LDA" 1 2 3 1.99494949494949
81.809 0 71.0485778845673 "LDA" 1 2 3 2.03030303030303
85.052 0 72.7216455653592 "LDA" 1 2 3 2.06565656565657
88.18 0 74.6135562936306 "LDA" 1 2 3 2.1010101010101
91.276 0 77.0202827049339 "LDA" 1 2 3 2.13636363636364
93.823 0 78.2526622559907 "LDA" 1 2 3 2.17171717171717
98.471 0 85.0879022547278 "LDA" 1 2 3 2.20707070707071
101.022 0 86.2177302705947 "LDA" 1 2 3 2.24242424242424
103.83 0 89.0506547933204 "LDA" 1 2 3 2.27777777777778
107.459 0 92.3946269329883 "LDA" 1 2 3 2.31313131313131
110.745 0 95.2456703095354 "LDA" 1 2 3 2.34848484848485
114.891 0 101.22027792722 "LDA" 1 2 3 2.38383838383838
116.524 0 101.470910953681 "LDA" 1 2 3 2.41919191919192
120.533 0 104.228040350931 "LDA" 1 2 3 2.45454545454545
123.582 0 106.440475623002 "LDA" 1 2 3 2.48989898989899
127.031 0 108.297471722018 "LDA" 1 2 3 2.52525252525253
130.357 0 111.605301371818 "LDA" 1 2 3 2.56060606060606
134.354 0 114.573451374041 "LDA" 1 2 3 2.5959595959596
137.492 0 117.391595622186 "LDA" 1 2 3 2.63131313131313
